time-in-ms bytes
200 0
400 0
600 0
800 53248
1000 49152
1200 49152
1400 49152
1600 49152
1800 65536
2000 49152
2200 61440
2400 32768
2600 49152
2800 114688
3000 32768
3200 65536
3400 32768
3600 81920
3800 49152
4000 49152
4200 49152
4400 49152
4600 53248
4800 16384
5000 45056
5200 49152
5400 53248
5600 45056
5800 69632
6000 45056
6200 69632
6400 81920
6600 65536
6800 49152
7000 45056
7200 53248
7400 65536
7600 61440
7800 98304
8000 16384
8200 49152
8400 49152
8600 49152
8800 81920
9000 32768
9200 49152
9400 32768
9600 49152
9800 114688
10000 16384
10200 81920
10400 0
10600 20480
10800 32768
11000 114688
11200 45056
11400 53248
11600 28672
11800 151552
12000 45056
12200 0
12400 53248
12600 65536
12800 98304
13000 45056
13200 0
13400 81920
13600 0
13800 131072
14000 49152
14200 32768
14400 49152
14600 81920
14800 49152
15000 49152
15200 32768
15400 49152
15600 81920
15800 81920
16000 0
16200 0
16400 53248
16600 49152
16800 131072
17000 32768
17200 65536
17400 32768
17600 81920
17800 61440
18000 32768
18200 65536
18400 32768
18600 49152
18800 114688
19000 0
19200 49152
19400 49152
19600 49152
19800 114688
20000 49152
