time-in-ms bytes
200 0
400 0
600 0
800 0
1000 65536
1200 49152
1400 32768
1600 36864
1800 81920
2000 32768
2200 98304
2400 77824
2600 32768
2800 36864
3000 61440
3200 114688
3400 36864
3600 45056
3800 32768
4000 65536
4200 65536
4400 81920
4600 36864
4800 65536
5000 28672
5200 114688
5400 32768
5600 65536
5800 36864
6000 65536
6200 94208
6400 36864
6600 49152
6800 110592
7000 36864
7200 45056
7400 86016
7600 28672
7800 36864
8000 45056
8200 32768
8400 69632
8600 45056
8800 32768
9000 20480
9200 49152
9400 32768
9600 77824
9800 49152
10000 16384
10200 20480
10400 49152
10600 77824
10800 16384
11000 49152
11200 16384
11400 16384
11600 86016
11800 45056
12000 16384
12200 49152
12400 16384
12600 81920
12800 32768
13000 36864
13200 28672
13400 20480
13600 28672
13800 98304
14000 20480
14200 28672
14400 49152
14600 65536
14800 69632
15000 45056
15200 16384
15400 32768
15600 69632
15800 32768
16000 94208
16200 20480
16400 45056
16600 36864
16800 77824
17000 69632
17200 28672
17400 32768
17600 65536
17800 36864
18000 94208
18200 20480
18400 45056
18600 32768
18800 53248
19000 49152
19200 77824
19400 36864
19600 16384
19800 61440
20000 65536
