time-in-ms bytes
270 4096
504 81920
795 65536
1035 65536
1274 65536
1485 65536
1714 65536
2035 65536
2258 65536
2474 81920
2785 65536
3015 65536
3216 49152
3425 65536
3635 49152
3856 65536
4085 65536
4305 81920
4514 49152
4725 49152
4936 49152
5175 65536
5385 65536
5645 65536
5875 65536
6099 49152
6325 81920
6535 49152
6774 65536
6986 49152
7246 65536
7476 65536
7695 65536
7973 65536
8185 65536
8415 81920
8626 49152
8854 49152
9055 65536
9296 65536
9531 65536
9784 65536
10014 49152
10234 65536
10456 81920
10666 81920
10994 49152
11204 49152
11426 65536
11656 65536
11895 65536
12125 65536
12385 65536
12617 65536
12855 65536
13085 65536
13304 81920
13514 65536
13795 49152
14026 65536
14268 65536
14514 81920
14718 49152
14985 65536
15224 49152
15455 98304
15684 49152
15886 49152
16094 65536
16396 65536
16635 65536
16865 65536
17096 65536
17395 98304
17655 65536
17885 65536
18096 49152
18375 81920
18635 65536
18865 65536
19114 65536
19320 65536
19574 65536
19784 49152
20005 49152
20234 65536
20471 98304
20724 49152
20985 65536
21239 65536
21474 81920
21724 65536
22002 65536
22214 49152
22416 81920
22625 49152
22924 81920
23225 65536
23474 81920
23714 65536
23974 65536
24241 65536
24466 81920
24697 49152
24907 65536
25137 49152
25434 98304
25654 65536
25914 65536
26143 49152
26376 81920
26593 65536
26825 49152
27044 49152
27296 65536
27506 65536
27742 65536
28024 65536
28254 65536
28495 81920
28703 49152
28933 65536
29265 81920
29513 81920
29725 49152
29984 65536
30197 49152
30425 81920
30664 65536
30913 65536
31195 65536
31448 98304
31725 65536
31987 65536
32264 65536
32496 81920
32732 65536
32933 49152
33205 65536
33414 98304
33654 49152
33871 49152
34233 131072
34464 32768
34673 65536
34894 49152
35142 65536
35424 81920
35674 65536
35936 65536
36213 65536
36484 81920
36726 65536
36985 65536
37234 65536
37474 81920
37684 49152
37903 65536
38114 49152
38325 65536
38585 65536
38863 65536
39086 65536
39289 65536
39522 81920
39853 114688
40163 32768
40373 49152
40585 65536
40825 65536
41055 65536
41295 65536
41575 81920
41843 81920
42055 49152
42295 32768
42543 98304
42825 65536
43055 65536
43271 65536
43503 65536
43823 65536
44041 65536
44273 81920
44494 81920
44764 65536
44984 163840
45323 32768
45614 49152
45853 65536
46108 65536
46327 49152
46581 81920
46815 49152
47113 81920
47331 49152
47584 98304
47815 49152
48095 65536
48334 65536
48563 65536
48796 65536
49072 65536
49324 81920
49574 65536
49813 49152
50313 16384
50525 32768
50726 98304
50933 114688
